symbol;unicode_name;mass_rel;center_x_norm;center_y_norm;Ix_norm;Iy_norm;image_path
А;CYRILLIC CAPITAL LETTER A;0.219727;0.534250;0.507496;0.011576;0.004252;lab7_output\reference_symbols\U+0410_А.png
Б;CYRILLIC CAPITAL LETTER BE;0.203857;0.464671;0.530197;0.012355;0.004190;lab7_output\reference_symbols\U+0411_Б.png
В;CYRILLIC CAPITAL LETTER VE;0.191895;0.477079;0.517751;0.011273;0.003751;lab7_output\reference_symbols\U+0412_В.png
Г;CYRILLIC CAPITAL LETTER GHE;0.134766;0.438837;0.457528;0.008617;0.000882;lab7_output\reference_symbols\U+0413_Г.png
Д;CYRILLIC CAPITAL LETTER DE;0.160400;0.532580;0.514919;0.007989;0.003191;lab7_output\reference_symbols\U+0414_Д.png
Є;CYRILLIC CAPITAL LETTER UKRAINIAN IE;0.191895;0.453633;0.489256;0.009400;0.005574;lab7_output\reference_symbols\U+0404_Є.png
Ж;CYRILLIC CAPITAL LETTER ZHE;0.217529;0.499706;0.510110;0.010443;0.008649;lab7_output\reference_symbols\U+0416_Ж.png
Ѕ;CYRILLIC CAPITAL LETTER DZE;0.170898;0.509070;0.546122;0.011325;0.005709;lab7_output\reference_symbols\U+0405_Ѕ.png
З;CYRILLIC CAPITAL LETTER ZE;0.177490;0.572084;0.537368;0.010120;0.005837;lab7_output\reference_symbols\U+0417_З.png
И;CYRILLIC CAPITAL LETTER I;0.242920;0.499848;0.498572;0.013830;0.006838;lab7_output\reference_symbols\U+0418_И.png
І;CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I;0.092285;0.492651;0.500000;0.005430;0.000111;lab7_output\reference_symbols\U+0406_І.png
Й;CYRILLIC CAPITAL LETTER SHORT I;0.185303;0.492440;0.552000;0.008315;0.003356;lab7_output\reference_symbols\U+0419_Й.png
К;CYRILLIC CAPITAL LETTER KA;0.234863;0.479688;0.503713;0.013659;0.006768;lab7_output\reference_symbols\U+041A_К.png
Л;CYRILLIC CAPITAL LETTER EL;0.180908;0.566223;0.564338;0.009793;0.004038;lab7_output\reference_symbols\U+041B_Л.png
